785M	.
1.9M	./.venv/Lib/site-packages/scipy/linalg/tests
1.9M	./.venv/Lib/site-packages/scipy/linalg/_flapack.cp312-win_amd64.pyd
1.9M	./.venv/Lib/site-packages/pytz/zoneinfo
1.9M	./.venv/Lib/site-packages/numpy/ma
1.9M	./.venv/Lib/site-packages/numpy/f2py
1.8M	./.venv/Lib/site-packages/scipy/stats/tests/data/nist_anova
1.8M	./.venv/Lib/site-packages/scipy/sparse/linalg/_propack
1.8M	./.venv/Lib/site-packages/scipy/fft
1.8M	./.venv/Lib/site-packages/pandas/core/__pycache__
1.8M	./.venv/Lib/site-packages/pandas/_libs/hashtable.cp312-win_amd64.pyd
1.8M	./.venv/Lib/site-packages/pandas/_libs/algos.cp312-win_amd64.pyd
1.8M	./.git/index
1.7M	./.venv/Lib/site-packages/statsmodels/tsa/vector_ar
1.7M	./.venv/Lib/site-packages/statsmodels/tsa/tests/results
1.7M	./.venv/Lib/site-packages/statsmodels/datasets
1.7M	./.venv/Lib/site-packages/sklearn/svm
1.7M	./.venv/Lib/site-packages/sklearn/decomposition
1.7M	./.venv/Lib/site-packages/scipy/spatial/_ckdtree.cp312-win_amd64.pyd
1.7M	./.venv/Lib/site-packages/scipy/signal/tests
1.7M	./.venv/Lib/site-packages/pip/_vendor/distlib
1.7M	./.venv/Lib/site-packages/patsy
1.6M	./.venv/Lib/site-packages/tzdata/zoneinfo
1.6M	./.venv/Lib/site-packages/tzdata
1.6M	./.venv/Lib/site-packages/sklearn/model_selection
1.6M	./.venv/Lib/site-packages/scipy/optimize/__pycache__
1.6M	./.venv/Lib/site-packages/scipy/misc/face.dat
1.6M	./.venv/Lib/site-packages/scipy/_lib
1.6M	./.venv/Lib/site-packages/pandas/tests/reshape
1.6M	./.venv/Lib/site-packages/pandas/tests/frame/methods/__pycache__
1.5M	./.venv/Lib/site-packages/statsmodels/tsa/statespace/tests/__pycache__
1.5M	./.venv/Lib/site-packages/statsmodels/discrete/tests/results
1.5M	./.venv/Lib/site-packages/scipy/stats/_unuran
1.5M	./.venv/Lib/site-packages/scipy/special/tests/data
1.5M	./.venv/Lib/site-packages/pandas/tests/indexing
1.4M	./.venv/Lib/site-packages/sklearn/utils/tests
1.4M	./.venv/Lib/site-packages/scipy/stats/_unuran/unuran_wrapper.cp312-win_amd64.pyd
1.4M	./.venv/Lib/site-packages/scipy/special/_ufuncs_cxx.cp312-win_amd64.pyd
1.4M	./.venv/Lib/site-packages/scipy/special/_ufuncs.cp312-win_amd64.pyd
1.4M	./.venv/Lib/site-packages/scipy/spatial/_distance_pybind.cp312-win_amd64.pyd
1.4M	./.venv/Lib/site-packages/scipy/sparse/linalg/_eigen
1.4M	./.venv/Lib/site-packages/scipy/optimize/tests/__pycache__
1.4M	./.venv/Lib/site-packages/scipy/cluster
1.4M	./.venv/Lib/site-packages/pandas/core/indexes
1.4M	./.venv/Lib/site-packages/numpy/polynomial
1.3M	./.venv/Lib/site-packages/statsmodels/base
1.3M	./.venv/Lib/site-packages/sklearn/tests
1.3M	./.venv/Lib/site-packages/scipy/special/tests/data/boost.npz
1.3M	./.venv/Lib/site-packages/scipy/fft/_pocketfft
1.3M	./.venv/Lib/site-packages/pip/_vendor/rich/__pycache__
1.3M	./.venv/Lib/site-packages/pandas/tests/extension
1.3M	./.venv/Lib/site-packages/numpy/lib/tests/__pycache__
1.3M	./.venv/Lib/site-packages/jinja2
1.2M	./.venv/Lib/site-packages/statsmodels/tsa/vector_ar/tests
1.2M	./.venv/Lib/site-packages/statsmodels/tsa/statespace/__pycache__
1.2M	./.venv/Lib/site-packages/statsmodels/stats/__pycache__
1.2M	./.venv/Lib/site-packages/statsmodels/sandbox/regression
1.2M	./.venv/Lib/site-packages/statsmodels/regression/tests
1.2M	./.venv/Lib/site-packages/sklearn/linear_model/tests
1.2M	./.venv/Lib/site-packages/scipy/spatial/transform
1.2M	./.venv/Lib/site-packages/scipy/interpolate/tests
1.2M	./.venv/Lib/site-packages/scipy/interpolate/_rbfinterp_pythran.cp312-win_amd64.pyd
1.2M	./.venv/Lib/site-packages/scipy/fftpack
1.2M	./.venv/Lib/site-packages/pandas/tests/plotting
1.2M	./.venv/Lib/site-packages/pandas/tests/io/parser
1.2M	./.venv/Lib/site-packages/pandas/tests/io/formats
1.2M	./.venv/Lib/site-packages/numpy/random/tests
1.2M	./.venv/Lib/site-packages/numpy/core/tests/data
1.1M	./.venv/Scripts
1.1M	./.venv/Lib/site-packages/statsmodels/tsa/regime_switching
1.1M	./.venv/Lib/site-packages/statsmodels/gam
1.1M	./.venv/Lib/site-packages/scipy/stats/_stats_pythran.cp312-win_amd64.pyd
1.1M	./.venv/Lib/site-packages/scipy/stats/_boost/nct_ufunc.cp312-win_amd64.pyd
1.1M	./.venv/Lib/site-packages/scipy/stats/_boost/beta_ufunc.cp312-win_amd64.pyd
1.1M	./.venv/Lib/site-packages/scipy/spatial/_qhull.cp312-win_amd64.pyd
1.1M	./.venv/Lib/site-packages/scipy/io/matlab
1.1M	./.venv/Lib/site-packages/scipy/fft/_pocketfft/pypocketfft.cp312-win_amd64.pyd
1.1M	./.venv/Lib/site-packages/pip/_vendor/pygments
